language,layer,category,cv_accuracy,cv_auc,best_C,n_harmful,n_benign
zh,18,unknown,0.9548076923076924,0.9942011834319526,0.01,520,520
zh,18,all,0.9548076923076924,0.9942011834319526,0.01,520,520
zh,19,unknown,0.9548076923076924,0.9940384615384615,0.01,520,520
zh,19,all,0.9548076923076924,0.9940384615384615,0.01,520,520
zh,20,unknown,0.9548076923076924,0.9939201183431953,0.01,520,520
zh,20,all,0.9548076923076924,0.9939201183431953,0.01,520,520
zh,21,unknown,0.9538461538461539,0.9938165680473373,0.01,520,520
zh,21,all,0.9538461538461539,0.9938165680473373,0.01,520,520
zh,22,unknown,0.9528846153846153,0.993849852071006,0.01,520,520
zh,22,all,0.9528846153846153,0.993849852071006,0.01,520,520
zh,23,unknown,0.9528846153846153,0.9938905325443788,0.01,520,520
zh,23,all,0.9528846153846153,0.9938905325443788,0.01,520,520
zh,24,unknown,0.9509615384615384,0.9937352071005917,0.01,520,520
zh,24,all,0.9509615384615384,0.9937352071005917,0.01,520,520
zh,25,unknown,0.9509615384615384,0.9936686390532546,0.01,520,520
zh,25,all,0.9509615384615384,0.9936686390532546,0.01,520,520
zh,26,unknown,0.9538461538461539,0.9935909763313611,0.01,520,520
zh,26,all,0.9538461538461539,0.9935909763313611,0.01,520,520
zh,27,unknown,0.9557692307692308,0.9935318047337278,0.01,520,520
zh,27,all,0.9557692307692308,0.9935318047337278,0.01,520,520
zh,28,unknown,0.9557692307692308,0.9935872781065089,0.01,520,520
zh,28,all,0.9557692307692308,0.9935872781065089,0.01,520,520
zh,29,unknown,0.9548076923076924,0.9935133136094675,0.01,520,520
zh,29,all,0.9548076923076924,0.9935133136094675,0.01,520,520
zh,30,unknown,0.9528846153846153,0.9934282544378699,0.01,520,520
zh,30,all,0.9528846153846153,0.9934282544378699,0.01,520,520
zh,31,unknown,0.9528846153846153,0.9934578402366864,0.01,520,520
zh,31,all,0.9528846153846153,0.9934578402366864,0.01,520,520
es,0,unknown,0.9365384615384615,0.9876534763313609,0.1,520,520
es,0,all,0.9365384615384615,0.9876534763313609,0.1,520,520
es,1,unknown,0.989423076923077,0.9996579142011834,10.0,520,520
es,1,all,0.989423076923077,0.9996579142011834,10.0,520,520
es,2,unknown,0.9634615384615385,0.9959375,0.1,520,520
es,2,all,0.9634615384615385,0.9959375,0.1,520,520
es,3,unknown,0.9798076923076923,0.9990366124260354,0.1,520,520
es,3,all,0.9798076923076923,0.9990366124260354,0.1,520,520
es,4,unknown,0.975,0.9981268491124261,0.01,520,520
es,4,all,0.975,0.9981268491124261,0.01,520,520
es,5,unknown,0.975,0.9983413461538462,0.01,520,520
es,5,all,0.975,0.9983413461538462,0.01,520,520
es,6,unknown,0.9740384615384615,0.9984153106508875,0.01,520,520
es,6,all,0.9740384615384615,0.9984153106508875,0.01,520,520
es,7,unknown,0.9721153846153846,0.9984301035502958,0.01,520,520
es,7,all,0.9721153846153846,0.9984301035502958,0.01,520,520
es,8,unknown,0.9740384615384615,0.9984301035502958,0.01,520,520
es,8,all,0.9740384615384615,0.9984301035502958,0.01,520,520
es,9,unknown,0.9730769230769231,0.998433801775148,0.01,520,520
es,9,all,0.9730769230769231,0.998433801775148,0.01,520,520
es,10,unknown,0.9740384615384615,0.9984301035502958,0.01,520,520
es,10,all,0.9740384615384615,0.9984301035502958,0.01,520,520
es,11,unknown,0.9730769230769231,0.9984781804733728,0.01,520,520
es,11,all,0.9730769230769231,0.9984781804733728,0.01,520,520
es,12,unknown,0.9769230769230769,0.9984596893491124,0.01,520,520
es,12,all,0.9769230769230769,0.9984596893491124,0.01,520,520
es,13,unknown,0.975,0.9983154585798817,0.01,520,520
es,13,all,0.975,0.9983154585798817,0.01,520,520
es,14,unknown,0.975,0.9982082100591716,0.01,520,520
es,14,all,0.975,0.9982082100591716,0.01,520,520
es,15,unknown,0.9711538461538461,0.9981416420118343,0.01,520,520
es,15,all,0.9711538461538461,0.9981416420118343,0.01,520,520
es,16,unknown,0.9721153846153846,0.998071375739645,0.01,520,520
es,16,all,0.9721153846153846,0.998071375739645,0.01,520,520
