layer,language,effective_rank,top_sv
12,gd,145,99.96174621582031
13,gd,144,100.6533432006836
14,gd,144,109.92790985107422
15,gd,142,116.59297943115234
16,gd,137,125.45507049560547
17,gd,134,142.5026092529297
18,gd,130,161.6783905029297
19,gd,124,188.59764099121094
20,gd,119,219.26397705078125
21,gd,112,252.76577758789062
22,gd,107,295.0755920410156
23,gd,100,347.4679870605469
24,gd,91,422.1556396484375
25,gd,82,492.126708984375
26,gd,70,634.9868774414062
27,gd,68,711.7474365234375
28,gd,64,834.46875
29,gd,61,969.2606811523438
30,gd,58,1255.216552734375
31,gd,62,1390.0198974609375
0,gn,92,21.224611282348633
1,gn,103,36.412349700927734
2,gn,108,46.38295364379883
3,gn,131,49.17036056518555
4,gn,131,52.09014892578125
5,gn,150,59.6776008605957
6,gn,149,62.600685119628906
7,gn,157,69.6354751586914
8,gn,151,75.40657806396484
9,gn,159,82.16117858886719
10,gn,158,87.67964935302734
11,gn,161,89.96541595458984
12,gn,162,89.30620574951172
13,gn,160,91.09458923339844
14,gn,161,96.00167083740234
15,gn,160,103.48407745361328
16,gn,152,113.77198028564453
17,gn,147,137.0692138671875
18,gn,139,167.27023315429688
19,gn,132,202.8250732421875
20,gn,127,237.77288818359375
21,gn,122,272.85321044921875
22,gn,118,309.0255432128906
23,gn,112,362.4346923828125
24,gn,107,422.13043212890625
25,gn,101,483.5802307128906
26,gn,94,590.6028442382812
27,gn,93,648.3622436523438
28,gn,87,746.38623046875
29,gn,83,899.9505004882812
30,gn,75,1237.013916015625
31,gn,67,1606.7620849609375
